cancername,Type,Caner description in paper,Identifier,Drugs,Clinical Trail Number,Phase,Patients number,ORR
Melanoma,Module1,Melanoma,DOI: 10.1093/annonc/mdz394.065,Nivolumab,NCT01844505,3,316,0.45
Melanoma,Module1,Melanoma,PMID: 29602646,Nivolumab,NCT02374242,2,25,0.29
Melanoma,Module1,Melanoma,DOI: 10.1016/S1470-2045(19)30274-8,Pembrolizumab,NCT02752074,3,352,0.315
Melanoma,Module1,Melanoma,DOI: 10.1093/annonc/mdy439.003,Nivolumab,UMIN000016608,3,124,0.185
Melanoma,Module1,Melanoma,DOI: 10.1186/s13045-018-0693-2,Toripalimab,NCT02836795,1,22,0.182
GastricCancer,Module1,Gastric cancer,DOI: 10.1200/JCO.2020.38.15_suppl.4512,Pembrolizumab,NCT02370498,3,218,0.123
GastricCancer,Module1,Gastric cancer,PMID: 33743112,Nivolumab,NCT02267343,3,330,0.097
GastricCancer,Module1,Gastric cancer,PMID: 32540858,Tislelizumab,NCT02407990,1b,54,0.13
ThyroidCancer,Module1,advanced thyroid cancer,36748723,Pembrolizumab,,2,103,0.068
ThyroidCancer,Module1,locally advanced or metastatic FTC or PTC,30832606,Pembrolizumab,KEYNOTE-028,Ib,22,0.09
ThyroidCancer,Module1,ATC,doi:? 10.1200/JCO.19.02727,spartalizumab,,2,42,0.19
ThyroidCancer,Module1,ATC,DOI: 10.1200/JCO.2018.36.15_suppl.6024,spartalizumab,(NCT02404441,1\2,30,0.17
ThyroidCancer,Module1,Cell and poorly differentiated thyroid carcinoma,doi:? 10.1200/JCO.2020.38.15_suppl.6512,pembrolizumab,,2,29,0.62
ThyroidCancer,Module1,ATC,DOI: 10.1200/JCO.2018.36.15_suppl.e18114,,,,4,0.5
ThyroidCancer,Module1,ATC,DOI: 10.1200/JCO.19.02727,spartalizumab,NCT02404441,1\2,40,0.2
EndometrialCarcinoma,Module1,Endometrial carcinoma and endometrial carcinosarcoma,DOI: 10.1200/JCO.2019.37.15_suppl.5582,Durvalumab,NCT03015129,2,28,0.148
EndometrialCarcinoma,Module1,Endometrial Cancer-MMRp,DOI: 10.1200/JCO.2019.37.15_suppl.5501,Durvalumab,ACTRN12617000106336,2,36,0.03
EndometrialCarcinoma,Module1,Endometrial Cancer-MMRd,DOI: 10.1200/JCO.2019.37.15_suppl.5501,Durvalumab,ACTRN12617000106336,2,35,0.4
LiverCancer,Module3,,29875066,pembrolizumab,,2,104,0.17
LiverCancer,Module3,,34870682,nivolumab,,,985,0.15
LiverCancer,Module3,,31790344,pembrolizumab,,3,413,0.183
LiverCancer,Module3,,34914889,"nivolumab (NIVO)(240 mg IV Q2W), sorafenib (SOR)(400 mg oral BID)",,3,743,0.15
LiverCancer,Module3,,35379737,avelumab and axitinib,,3,20,0.136
EsophagealCancer,Module2,,30128737,Nivolumab,,,20,0.3
