geneSet,description,link,size,overlap,expect,enrichmentRatio,pValue,FDR,overlapId,userId,cancer,method,logFDR
GO:0006984,ER-nucleus signaling pathway,http://amigo.geneontology.org/amigo/term/GO:0006984,42,9,1.517430805,5.931077694,1.47E-05,0.00211961,467;468;1649;4780;5770;5771;8440;23645;83939,PPP1R15A;ATF3;DDIT3;PTPN1;NCK2;ATF4;PTPN2;EIF2A;NFE2L2,HeadandNeck,pos,2.673743938
GO:0017017,MAP kinase tyrosine/serine/threonine phosphatase activity,http://amigo.geneontology.org/amigo/term/GO:0017017,10,5,0.356618007,14.0206044,1.22E-05,0.002748913,1843;1844;1846;1847;11221,DUSP1;DUSP2;DUSP10;DUSP5;DUSP4,HeadandNeck,MF,2.560838993
GO:0033549,MAP kinase phosphatase activity,http://amigo.geneontology.org/amigo/term/GO:0033549,11,5,0.392279808,12.746004,2.17E-05,0.004193549,1843;1844;1846;1847;11221,DUSP1;DUSP2;DUSP10;DUSP5;DUSP4,HeadandNeck,MF,2.377418325
GO:0032609,interferon-gamma production,http://amigo.geneontology.org/amigo/term/GO:0032609,91,12,3.287766744,3.649893966,9.85E-05,0.010582917,558;1236;2621;3115;3329;3394;3553;3606;5142;5914;7124;8767,AXL;TNF;IL18;IL1B;CCR7;GAS6;RIPK2;PDE4B;HLA-DPB1;HSPD1;IRF8;RARA,HeadandNeck,pos,1.97539459
GO:0071887,leukocyte apoptotic process,http://amigo.geneontology.org/amigo/term/GO:0071887,93,12,3.360025354,3.571401622,0.000121923,0.010582917,301;558;1236;1831;2621;3575;4067;4208;8013;27086;96459;171558,TSC22D3;ANXA1;NR4A3;AXL;FOXP1;CCR7;GAS6;IL7R;PTCRA;FNIP1;MEF2C;LYN,HeadandNeck,pos,1.97539459
GO:0032602,chemokine production,http://amigo.geneontology.org/amigo/term/GO:0032602,69,10,2.492922037,4.011356895,0.00016919,0.012238111,1436;1654;1958;3553;3606;4155;7124;8767;9314;27086,EGR1;KLF4;TNF;FOXP1;IL18;IL1B;DDX3X;RIPK2;MBP;CSF1R,HeadandNeck,pos,1.912285625
GO:0035259,glucocorticoid receptor binding,http://amigo.geneontology.org/amigo/term/GO:0035259,14,5,0.49926521,10.01471743,8.61E-05,0.014549691,2322;3164;4929;6774;8013,NR4A2;NR4A1;NR4A3;FLT3;STAT3,HeadandNeck,MF,1.837146237
GO:0014812,muscle cell migration,http://amigo.geneontology.org/amigo/term/GO:0014812,74,10,2.673568561,3.740319267,0.000304627,0.018886855,301;328;4208;4780;5031;5058;6653;8013;10221;57175,ANXA1;NR4A3;PAK1;TRIB1;SORL1;CORO1B;P2RY6;MEF2C;APEX1;NFE2L2,HeadandNeck,pos,1.723840359
GO:0032615,interleukin-12 production,http://amigo.geneontology.org/amigo/term/GO:0032615,50,8,1.806465244,4.428538012,0.000380733,0.020654752,958;1236;3329;3394;3659;4050;8767;27086,FOXP1;IRF1;CCR7;RIPK2;LTB;HSPD1;IRF8;CD40,HeadandNeck,pos,1.684980023
GO:0032395,MHC class II receptor activity,http://amigo.geneontology.org/amigo/term/GO:0032395,9,4,0.320956207,12.46275946,0.00017387,0.026119146,3111;3117;3118;3119,HLA-DQB1;HLA-DOA;HLA-DQA2;HLA-DQA1,HeadandNeck,MF,1.583041025
GO:0071723,lipopeptide binding,http://amigo.geneontology.org/amigo/term/GO:0071723,10,4,0.356618007,11.21648352,0.000281651,0.037848982,909;910;911;913,CD1C;CD1E;CD1A;CD1B,HeadandNeck,MF,1.421945802
GO:0019957,C-C chemokine binding,http://amigo.geneontology.org/amigo/term/GO:0019957,18,5,0.641912413,7.789224664,0.000327434,0.037848982,1235;1236;2829;7538;7852,ZFP36;CXCR4;CCR7;XCR1;CCR6,HeadandNeck,MF,1.421945802
GO:0001221,transcription cofactor binding,http://amigo.geneontology.org/amigo/term/GO:0001221,38,7,1.355148428,5.16548583,0.000335938,0.037848982,196;4780;5187;8013;9314;10458;10783,KLF4;NR4A3;PER1;AHR;NEK6;BAIAP2;NFE2L2,HeadandNeck,MF,1.421945802
GO:0071867,response to monoamine,http://amigo.geneontology.org/amigo/term/GO:0071867,32,6,1.156137756,5.189692982,0.000869865,0.041946826,351;468;3397;3784;5142;8013,NR4A3;PDE4B;ID1;APP;ATF4;KCNQ1,HeadandNeck,pos,1.377300899
GO:0032612,interleukin-1 production,http://amigo.geneontology.org/amigo/term/GO:0032612,71,9,2.565180647,3.508524833,0.000973885,0.042266622,301;1236;1958;2621;3553;7128;8767;27086;114548,EGR1;TNFAIP3;ANXA1;FOXP1;IL1B;CCR7;GAS6;RIPK2;NLRP3,HeadandNeck,pos,1.374002459
GO:0042605,peptide antigen binding,http://amigo.geneontology.org/amigo/term/GO:0042605,22,5,0.784559616,6.373001998,0.000894705,0.093049341,2217;3115;3117;3119;3134,HLA-F;FCGRT;HLA-DQB1;HLA-DPB1;HLA-DQA1,HeadandNeck,MF,1.0312867
GO:0004601,peroxidase activity,http://amigo.geneontology.org/amigo/term/GO:0004601,34,6,1.212501225,4.94844861,0.001138125,0.097216817,241;847;1193;4258;5742;5743,ALOX5AP;CLIC2;PTGS1;PTGS2;MGST2;CAT,HeadandNeck,MF,1.012258604
GO:0023026,MHC class II protein complex binding,http://amigo.geneontology.org/amigo/term/GO:0023026,14,4,0.49926521,8.01177394,0.001198456,0.097216817,3109;3111;3320;3326,HSP90AB1;HSP90AA1;HLA-DOA;HLA-DMB,HeadandNeck,MF,1.012258604
GO:0004879,nuclear receptor activity,http://amigo.geneontology.org/amigo/term/GO:0004879,47,7,1.676104634,4.176350245,0.001271253,0.097216817,196;2908;3164;4929;5914;6774;8013,NR4A2;NR4A1;NR4A3;AHR;STAT3;RARA;NR3C1,HeadandNeck,MF,1.012258604
GO:0098531,"transcription factor activity, direct ligand regulated sequence-specific DNA binding",http://amigo.geneontology.org/amigo/term/GO:0098531,47,7,1.676104634,4.176350245,0.001271253,0.097216817,196;2908;3164;4929;5914;6774;8013,NR4A2;NR4A1;NR4A3;AHR;STAT3;RARA;NR3C1,HeadandNeck,MF,1.012258604
GO:0001618,virus receptor activity,http://amigo.geneontology.org/amigo/term/GO:0001618,61,8,2.175369844,3.677535579,0.001366213,0.097216817,558;920;942;1604;3303;3383;3949;7852,HSPA1A;AXL;CXCR4;ICAM1;CD4;CD86;CD55;LDLR,HeadandNeck,MF,1.012258604
GO:0104005,hijacked molecular function,http://amigo.geneontology.org/amigo/term/GO:0104005,61,8,2.175369844,3.677535579,0.001366213,0.097216817,558;920;942;1604;3303;3383;3949;7852,HSPA1A;AXL;CXCR4;ICAM1;CD4;CD86;CD55;LDLR,HeadandNeck,MF,1.012258604
GO:0016684,"oxidoreductase activity, acting on peroxide as acceptor",http://amigo.geneontology.org/amigo/term/GO:0016684,37,6,1.319486627,4.547223047,0.001798098,0.121551417,241;847;1193;4258;5742;5743,ALOX5AP;CLIC2;PTGS1;PTGS2;MGST2;CAT,HeadandNeck,MF,0.915239974
GO:0019956,chemokine binding,http://amigo.geneontology.org/amigo/term/GO:0019956,26,5,0.927206819,5.392540152,0.001987737,0.12797243,1235;1236;2829;7538;7852,ZFP36;CXCR4;CCR7;XCR1;CCR6,HeadandNeck,MF,0.892883582
GO:0051082,unfolded protein binding,http://amigo.geneontology.org/amigo/term/GO:0051082,97,10,3.45919467,2.890846267,0.002341964,0.13971642,871;3301;3303;3310;3320;3326;3329;3336;3337;11080,DNAJB1;HSPA1A;DNAJA1;HSPA6;SERPINH1;DNAJB4;HSP90AB1;HSP90AA1;HSPD1;HSPE1,HeadandNeck,MF,0.854752552
GO:0060590,ATPase regulator activity,http://amigo.geneontology.org/amigo/term/GO:0060590,39,6,1.390810228,4.314032122,0.002376833,0.13971642,3301;3337;9531;10808;11080;96459,DNAJB1;HSPH1;DNAJA1;DNAJB4;BAG3;FNIP1,HeadandNeck,MF,0.854752552
GO:0016493,C-C chemokine receptor activity,http://amigo.geneontology.org/amigo/term/GO:0016493,17,4,0.606250612,6.59793148,0.002617859,0.14676785,1235;1236;2829;7852,CXCR4;CCR7;XCR1;CCR6,HeadandNeck,MF,0.833369067
GO:0004715,non-membrane spanning protein tyrosine kinase activity,http://amigo.geneontology.org/amigo/term/GO:0004715,40,6,1.426472029,4.206181319,0.002713903,0.14676785,27;1195;3055;4067;6850;8767,CLK1;HCK;RIPK2;LYN;ABL2;SYK,HeadandNeck,MF,0.833369067
GO:0004725,protein tyrosine phosphatase activity,http://amigo.geneontology.org/amigo/term/GO:0004725,84,9,2.995591261,3.004415228,0.002940041,0.152882133,1843;1844;1846;1847;5770;5771;5791;8073;11221,DUSP1;DUSP2;DUSP10;PTPN1;PTPRE;DUSP5;DUSP4;PTPN2;PTP4A2,HeadandNeck,MF,0.815643268
GO:0000980,RNA polymerase II distal enhancer sequence-specific DNA binding,http://amigo.geneontology.org/amigo/term/GO:0000980,85,9,3.031253062,2.969069166,0.003187588,0.158003734,468;3725;4208;4780;5966;5971;6688;6689;8553,JUN;REL;BHLHE40;SPI1;MEF2C;ATF4;RELB;SPIB;NFE2L2,HeadandNeck,MF,0.801332649
GO:0023023,MHC protein complex binding,http://amigo.geneontology.org/amigo/term/GO:0023023,18,4,0.641912413,6.231379731,0.003272267,0.158003734,3109;3111;3320;3326,HSP90AB1;HSP90AA1;HLA-DOA;HLA-DMB,HeadandNeck,MF,0.801332649
GO:0016209,antioxidant activity,http://amigo.geneontology.org/amigo/term/GO:0016209,56,7,1.997060841,3.505151099,0.003564718,0.166189624,241;847;1193;4258;5742;5743;6648,ALOX5AP;CLIC2;PTGS1;PTGS2;MGST2;CAT;SOD2,HeadandNeck,MF,0.779396095
GO:0019865,immunoglobulin binding,http://amigo.geneontology.org/amigo/term/GO:0019865,19,4,0.677574214,5.903412377,0.004029809,0.170259449,920;2205;2213;2217,FCER1A;FCGRT;CD4;FCGR2B,HeadandNeck,MF,0.768888776
GO:0001637,G protein-coupled chemoattractant receptor activity,http://amigo.geneontology.org/amigo/term/GO:0001637,19,4,0.677574214,5.903412377,0.004029809,0.170259449,1235;1236;2829;7852,CXCR4;CCR7;XCR1;CCR6,HeadandNeck,MF,0.768888776
GO:0004950,chemokine receptor activity,http://amigo.geneontology.org/amigo/term/GO:0004950,19,4,0.677574214,5.903412377,0.004029809,0.170259449,1235;1236;2829;7852,CXCR4;CCR7;XCR1;CCR6,HeadandNeck,MF,0.768888776
GO:1990782,protein tyrosine kinase binding,http://amigo.geneontology.org/amigo/term/GO:1990782,73,8,2.603311453,3.073009183,0.00430936,0.172951103,920;2621;3320;5770;5771;8878;10140;50852,TRAT1;TOB1;GAS6;CD4;SQSTM1;HSP90AA1;PTPN1;PTPN2,HeadandNeck,MF,0.762076663
GO:0001608,G protein-coupled nucleotide receptor activity,http://amigo.geneontology.org/amigo/term/GO:0001608,10,3,0.356618007,8.412362637,0.004477284,0.172951103,5031;9934;53829,P2RY14;P2RY13;P2RY6,HeadandNeck,MF,0.762076663
GO:0045028,G protein-coupled purinergic nucleotide receptor activity,http://amigo.geneontology.org/amigo/term/GO:0045028,10,3,0.356618007,8.412362637,0.004477284,0.172951103,5031;9934;53829,P2RY14;P2RY13;P2RY6,HeadandNeck,MF,0.762076663
GO:0035925,mRNA 3'-UTR AU-rich region binding,http://amigo.geneontology.org/amigo/term/GO:0035925,11,3,0.392279808,7.647602398,0.005994946,0.225143532,677;678;7538,ZFP36;ZFP36L2;ZFP36L1,HeadandNeck,MF,0.647540525
GO:0008138,protein tyrosine/serine/threonine phosphatase activity,http://amigo.geneontology.org/amigo/term/GO:0008138,35,5,1.248163025,4.00588697,0.00754799,0.26310564,1843;1844;1846;1847;11221,DUSP1;DUSP2;DUSP10;DUSP5;DUSP4,HeadandNeck,MF,0.579869842
GO:0004602,glutathione peroxidase activity,http://amigo.geneontology.org/amigo/term/GO:0004602,12,3,0.427941609,7.010302198,0.007784191,0.26310564,241;1193;4258,ALOX5AP;CLIC2;MGST2,HeadandNeck,MF,0.579869842
GO:0008093,cytoskeletal adaptor activity,http://amigo.geneontology.org/amigo/term/GO:0008093,12,3,0.427941609,7.010302198,0.007784191,0.26310564,4130;8440;10458,MAP1A;BAIAP2;NCK2,HeadandNeck,MF,0.579869842
GO:0005041,low-density lipoprotein particle receptor activity,http://amigo.geneontology.org/amigo/term/GO:0005041,12,3,0.427941609,7.010302198,0.007784191,0.26310564,3949;6653;58191,CXCL16;SORL1;LDLR,HeadandNeck,MF,0.579869842
GO:0051213,dioxygenase activity,http://amigo.geneontology.org/amigo/term/GO:0051213,50,6,1.783090036,3.364945055,0.008341943,0.275080671,240;5742;5743;22992;112399;221037,ALOX5;JMJD1C;PTGS1;EGLN3;PTGS2;KDM2A,HeadandNeck,MF,0.560539925
GO:0033613,activating transcription factor binding,http://amigo.geneontology.org/amigo/term/GO:0033613,66,7,2.353678848,2.974067599,0.008845038,0.284725991,2353;3725;4208;4261;4780;8553;10783,FOS;JUN;BHLHE40;CIITA;NEK6;MEF2C;NFE2L2,HeadandNeck,MF,0.545572887
GO:0071813,lipoprotein particle binding,http://amigo.geneontology.org/amigo/term/GO:0071813,24,4,0.855883217,4.673534799,0.009602298,0.29505244,3329;3949;6653;8578,SORL1;HSPD1;SCARF1;LDLR,HeadandNeck,MF,0.530100789
GO:0071814,protein-lipid complex binding,http://amigo.geneontology.org/amigo/term/GO:0071814,24,4,0.855883217,4.673534799,0.009602298,0.29505244,3329;3949;6653;8578,SORL1;HSPD1;SCARF1;LDLR,HeadandNeck,MF,0.530100789
GO:0030228,lipoprotein particle receptor activity,http://amigo.geneontology.org/amigo/term/GO:0030228,13,3,0.463603409,6.471048183,0.009855256,0.296095701,3949;6653;58191,CXCL16;SORL1;LDLR,HeadandNeck,MF,0.528567899
GO:0055131,C3HC4-type RING finger domain binding,http://amigo.geneontology.org/amigo/term/GO:0055131,5,2,0.178309004,11.21648352,0.011807726,0.323849115,3301;3303,HSPA1A;DNAJA1,HeadandNeck,MF,0.489657285
GO:0004904,interferon receptor activity,http://amigo.geneontology.org/amigo/term/GO:0004904,5,2,0.178309004,11.21648352,0.011807726,0.323849115,3459;3460,IFNGR2;IFNGR1,HeadandNeck,MF,0.489657285
GO:0001784,phosphotyrosine residue binding,http://amigo.geneontology.org/amigo/term/GO:0001784,39,5,1.390810228,3.595026768,0.011923706,0.323849115,27;3055;6850;8440;9021,SOCS3;HCK;NCK2;ABL2;SYK,HeadandNeck,MF,0.489657285
GO:0016538,cyclin-dependent protein serine/threonine kinase regulator activity,http://amigo.geneontology.org/amigo/term/GO:0016538,39,5,1.390810228,3.595026768,0.011923706,0.323849115,595;902;1026;10614;57018,CCNL1;CDKN1A;HEXIM1;CCNH;CCND1,HeadandNeck,MF,0.489657285
GO:0004364,glutathione transferase activity,http://amigo.geneontology.org/amigo/term/GO:0004364,14,3,0.49926521,6.008830455,0.012216202,0.323849115,241;1193;4258,ALOX5AP;CLIC2;MGST2,HeadandNeck,MF,0.489657285
GO:0030169,low-density lipoprotein particle binding,http://amigo.geneontology.org/amigo/term/GO:0030169,14,3,0.49926521,6.008830455,0.012216202,0.323849115,3949;6653;8578,SORL1;SCARF1;LDLR,HeadandNeck,MF,0.489657285
GO:0008143,poly(A) binding,http://amigo.geneontology.org/amigo/term/GO:0008143,15,3,0.534927011,5.608241758,0.014873086,0.386700233,1654;8761;26986,DDX3X;PABPC4;PABPC1,HeadandNeck,MF,0.412625566
GO:0097110,scaffold protein binding,http://amigo.geneontology.org/amigo/term/GO:0097110,57,6,2.032722641,2.951706189,0.015486878,0.395061488,3320;3784;5604;6949;8440;10458,TCOF1;HSP90AA1;BAIAP2;NCK2;MAP2K1;KCNQ1,HeadandNeck,MF,0.403335305
GO:0003725,double-stranded RNA binding,http://amigo.geneontology.org/amigo/term/GO:0003725,58,6,2.068384442,2.900814703,0.016771959,0.419920147,87;1654;1973;3326;3329;9188,DDX3X;HSP90AB1;EIF4A1;ACTN1;HSPD1;DDX21,HeadandNeck,MF,0.376833289
GO:0001614,purinergic nucleotide receptor activity,http://amigo.geneontology.org/amigo/term/GO:0001614,16,3,0.570588812,5.257726648,0.017830137,0.429999242,5031;9934;53829,P2RY14;P2RY13;P2RY6,HeadandNeck,MF,0.36653231
GO:0016502,nucleotide receptor activity,http://amigo.geneontology.org/amigo/term/GO:0016502,16,3,0.570588812,5.257726648,0.017830137,0.429999242,5031;9934;53829,P2RY14;P2RY13;P2RY6,HeadandNeck,MF,0.36653231
GO:0030971,receptor tyrosine kinase binding,http://amigo.geneontology.org/amigo/term/GO:0030971,59,6,2.104046243,2.851648352,0.018128666,0.429999242,2621;5770;5771;8878;10140;50852,TRAT1;TOB1;GAS6;SQSTM1;PTPN1;PTPN2,HeadandNeck,MF,0.36653231
GO:0031072,heat shock protein binding,http://amigo.geneontology.org/amigo/term/GO:0031072,95,8,3.387871069,2.361364951,0.019906575,0.464029125,196;2908;3301;3303;3310;3326;3337;7538,DNAJB1;ZFP36;HSPA1A;DNAJA1;HSPA6;HSP90AB1;AHR;NR3C1,HeadandNeck,MF,0.33345476
GO:0003730,mRNA 3'-UTR binding,http://amigo.geneontology.org/amigo/term/GO:0003730,61,6,2.175369844,2.758151684,0.0210637,0.482680042,677;678;7538;8761;25946;26986,ZFP36;ZFP36L2;ZNF385A;ZFP36L1;PABPC4;PABPC1,HeadandNeck,MF,0.316340658
GO:0016846,carbon-sulfur lyase activity,http://amigo.geneontology.org/amigo/term/GO:0016846,7,2,0.249632605,8.01177394,0.023649227,0.507519912,241;4258,ALOX5AP;MGST2,HeadandNeck,MF,0.294546914
GO:0031821,G protein-coupled serotonin receptor binding,http://amigo.geneontology.org/amigo/term/GO:0031821,7,2,0.249632605,8.01177394,0.023649227,0.507519912,2775;2776,GNAQ;GNAO1,HeadandNeck,MF,0.294546914
GO:0016290,palmitoyl-CoA hydrolase activity,http://amigo.geneontology.org/amigo/term/GO:0016290,7,2,0.249632605,8.01177394,0.023649227,0.507519912,5538;117145,THEM4;PPT1,HeadandNeck,MF,0.294546914
GO:0097322,7SK snRNA binding,http://amigo.geneontology.org/amigo/term/GO:0097322,7,2,0.249632605,8.01177394,0.023649227,0.507519912,9188;10614,HEXIM1;DDX21,HeadandNeck,MF,0.294546914
GO:0008157,protein phosphatase 1 binding,http://amigo.geneontology.org/amigo/term/GO:0008157,18,3,0.641912413,4.673534799,0.024653439,0.512791536,3784;23645;221692,PPP1R15A;PHACTR1;KCNQ1,HeadandNeck,MF,0.290059152
GO:0032452,histone demethylase activity,http://amigo.geneontology.org/amigo/term/GO:0032452,18,3,0.641912413,4.673534799,0.024653439,0.512791536,22992;84159;221037,JMJD1C;KDM2A;ARID5B,HeadandNeck,MF,0.290059152
GO:0045309,protein phosphorylated amino acid binding,http://amigo.geneontology.org/amigo/term/GO:0045309,48,5,1.711766435,2.920959249,0.027378399,0.560842357,27;3055;6850;8440;9021,SOCS3;HCK;NCK2;ABL2;SYK,HeadandNeck,MF,0.251159194
GO:0051787,misfolded protein binding,http://amigo.geneontology.org/amigo/term/GO:0051787,19,3,0.677574214,4.427559283,0.02852037,0.575515522,3303;3310;9695,HSPA1A;HSPA6;EDEM1,HeadandNeck,MF,0.239942959
GO:0030306,ADP-ribosylation factor binding,http://amigo.geneontology.org/amigo/term/GO:0030306,8,2,0.285294406,7.010302198,0.03079774,0.586458376,6653;160622,GRASP;SORL1,HeadandNeck,MF,0.231762807
GO:0030235,nitric-oxide synthase regulator activity,http://amigo.geneontology.org/amigo/term/GO:0030235,8,2,0.285294406,7.010302198,0.03079774,0.586458376,3320;3326,HSP90AB1;HSP90AA1,HeadandNeck,MF,0.231762807
GO:0047617,acyl-CoA hydrolase activity,http://amigo.geneontology.org/amigo/term/GO:0047617,8,2,0.285294406,7.010302198,0.03079774,0.586458376,5538;117145,THEM4;PPT1,HeadandNeck,MF,0.231762807
GO:0030911,TPR domain binding,http://amigo.geneontology.org/amigo/term/GO:0030911,8,2,0.285294406,7.010302198,0.03079774,0.586458376,3320;3326,HSP90AB1;HSP90AA1,HeadandNeck,MF,0.231762807
GO:0035586,purinergic receptor activity,http://amigo.geneontology.org/amigo/term/GO:0035586,20,3,0.713236014,4.206181319,0.032689093,0.597238567,5031;9934;53829,P2RY14;P2RY13;P2RY6,HeadandNeck,MF,0.223852156
GO:0031683,G-protein beta/gamma-subunit complex binding,http://amigo.geneontology.org/amigo/term/GO:0031683,20,3,0.713236014,4.206181319,0.032689093,0.597238567,2769;2775;2776,GNA15;GNAQ;GNAO1,HeadandNeck,MF,0.223852156
GO:0070717,poly-purine tract binding,http://amigo.geneontology.org/amigo/term/GO:0070717,20,3,0.713236014,4.206181319,0.032689093,0.597238567,1654;8761;26986,DDX3X;PABPC4;PABPC1,HeadandNeck,MF,0.223852156
GO:0051087,chaperone binding,http://amigo.geneontology.org/amigo/term/GO:0051087,86,7,3.066914862,2.282423971,0.033517819,0.604214544,3301;3329;3336;3337;9531;11080;96459,DNAJB1;DNAJA1;DNAJB4;BAG3;FNIP1;HSPD1;HSPE1,HeadandNeck,MF,0.218808825
GO:0003707,steroid hormone receptor activity,http://amigo.geneontology.org/amigo/term/GO:0003707,51,5,1.818751837,2.749138117,0.034475808,0.613306481,2908;3164;4929;5914;8013,NR4A2;NR4A1;NR4A3;RARA;NR3C1,HeadandNeck,MF,0.212322446
GO:0043015,gamma-tubulin binding,http://amigo.geneontology.org/amigo/term/GO:0043015,21,3,0.748897815,4.00588697,0.037156865,0.637707009,4067;5142;8481,PDE4B;LYN;OFD1,HeadandNeck,MF,0.19537881
GO:0001965,G-protein alpha-subunit binding,http://amigo.geneontology.org/amigo/term/GO:0001965,21,3,0.748897815,4.00588697,0.037156865,0.637707009,5996;5997;6001,RGS2;RGS1;RGS10,HeadandNeck,MF,0.19537881
GO:0043522,leucine zipper domain binding,http://amigo.geneontology.org/amigo/term/GO:0043522,9,2,0.320956207,6.231379731,0.038677496,0.637707009,468;1649,DDIT3;ATF4,HeadandNeck,MF,0.19537881
GO:0016289,CoA hydrolase activity,http://amigo.geneontology.org/amigo/term/GO:0016289,9,2,0.320956207,6.231379731,0.038677496,0.637707009,5538;117145,THEM4;PPT1,HeadandNeck,MF,0.19537881
GO:0051400,BH domain binding,http://amigo.geneontology.org/amigo/term/GO:0051400,9,2,0.320956207,6.231379731,0.038677496,0.637707009,597;4170,MCL1;BCL2A1,HeadandNeck,MF,0.19537881
GO:0019864,IgG binding,http://amigo.geneontology.org/amigo/term/GO:0019864,9,2,0.320956207,6.231379731,0.038677496,0.637707009,2213;2217,FCGRT;FCGR2B,HeadandNeck,MF,0.19537881
GO:0071889,14-3-3 protein binding,http://amigo.geneontology.org/amigo/term/GO:0071889,22,3,0.784559616,3.823801199,0.04191992,0.674711099,677;7538;54541,ZFP36;DDIT4;ZFP36L1,HeadandNeck,MF,0.170882146
GO:0032451,demethylase activity,http://amigo.geneontology.org/amigo/term/GO:0032451,22,3,0.784559616,3.823801199,0.04191992,0.674711099,22992;84159;221037,JMJD1C;KDM2A;ARID5B,HeadandNeck,MF,0.170882146
GO:0001102,RNA polymerase II activating transcription factor binding,http://amigo.geneontology.org/amigo/term/GO:0001102,38,4,1.355148428,2.951706189,0.045273164,0.686576842,2353;3725;4780;8553,FOS;JUN;BHLHE40;NFE2L2,HeadandNeck,MF,0.16331085
GO:0004867,serine-type endopeptidase inhibitor activity,http://amigo.geneontology.org/amigo/term/GO:0004867,55,5,1.96139904,2.549200799,0.045564866,0.686576842,351;871;5176;5345;10653,SERPINF1;SPINT2;SERPINF2;SERPINH1;APP,HeadandNeck,MF,0.16331085
GO:0019888,protein phosphatase regulator activity,http://amigo.geneontology.org/amigo/term/GO:0019888,55,5,1.96139904,2.549200799,0.045564866,0.686576842,3476;5514;23645;94274;221692,PPP1R15A;PHACTR1;PPP1R14A;PPP1R10;IGBP1,HeadandNeck,MF,0.16331085
GO:0004860,protein kinase inhibitor activity,http://amigo.geneontology.org/amigo/term/GO:0004860,55,5,1.96139904,2.549200799,0.045564866,0.686576842,1026;5570;9021;10221;10614,SOCS3;CDKN1A;PKIB;HEXIM1;TRIB1,HeadandNeck,MF,0.16331085
GO:0030159,receptor signaling complex scaffold activity,http://amigo.geneontology.org/amigo/term/GO:0030159,23,3,0.820221417,3.657548973,0.046973576,0.686576842,8440;9455;162989,DEDD2;NCK2;HOMER2,HeadandNeck,MF,0.16331085
