geneSet,description,size,overlap,expect,enrichmentRatio,pValue,FDR,overlapId,userId,cancer,logFDR
R-HSA-381771,"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)",18,5,0.505058681,9.899839744,0.000105392,0.014034674,2784;28972;60559;90701;9789,SEC11C;SPCS3;SPCS2;SPCS1;GNB3,Pancreatic,1.852797669
R-HSA-422085,"Synthesis, secretion, and deacylation of Ghrelin",18,5,0.505058681,9.899839744,0.000105392,0.014034674,28972;3479;60559;90701;9789,SEC11C;SPCS3;SPCS2;IGF1;SPCS1,Pancreatic,1.852797669
R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),106,11,2.974234453,3.698430697,0.000175275,0.020193573,10130;10970;2621;3479;3490;5034;5611;5954;7184;813;8720,GAS6;IGF1;HSP90B1;PDIA6;RCN1;DNAJC3;CALU;CKAP4;MBTPS1;IGFBP7;P4HB,Pancreatic,1.694786836
R-HSA-948021,Transport to the Golgi and subsequent modification,143,13,4.01241063,3.239947552,0.000176915,0.020193573,10282;10802;10945;10972;11014;11316;3998;51128;51226;54732;6480;8703;966,ST6GAL1;LMAN1;KDELR1;TMED9;TMED10;KDELR2;COPE;COPZ2;CD59;SAR1B;SEC24A;BET1;B4GALT3,Pancreatic,1.694786836
R-HSA-8957275,Post-translational protein phosphorylation,90,10,2.525293403,3.959935897,0.000196711,0.020956328,10130;10970;2621;3490;5034;5611;5954;7184;813;8720,GAS6;HSP90B1;PDIA6;RCN1;DNAJC3;CALU;CKAP4;MBTPS1;IGFBP7;P4HB,Pancreatic,1.678684814
R-HSA-532668,N-glycan trimming in the ER and Calnexin/Calreticulin cycle,32,6,0.897882099,6.682391827,0.000223455,0.021003991,10956;55757;6400;79139;84447;9761,SEL1L;DERL1;SYVN1;MLEC;OS9;UGGT2,Pancreatic,1.677698167
R-HSA-400508,"Incretin synthesis, secretion, and inactivation",21,5,0.589235127,8.485576923,0.000233678,0.021003991,2784;28972;60559;90701;9789,SEC11C;SPCS3;SPCS2;SPCS1;GNB3,Pancreatic,1.677698167
R-HSA-400511,"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)",12,4,0.336705787,11.87980769,0.000249735,0.021003991,28972;60559;90701;9789,SEC11C;SPCS3;SPCS2;SPCS1,Pancreatic,1.677698167
R-HSA-381033,ATF6 (ATF6-alpha) activates chaperones,12,4,0.336705787,11.87980769,0.000249735,0.021003991,468;7184;7494;8720,XBP1;HSP90B1;ATF4;MBTPS1,Pancreatic,1.677698167
R-HSA-5694530,Cargo concentration in the ER,25,5,0.70147039,7.127884615,0.0005568,0.044488318,10802;10972;3998;51128;966,LMAN1;TMED10;CD59;SAR1B;SEC24A,Pancreatic,1.351754012
R-HSA-5663205,Infectious disease,357,75,12.71388102,5.899064171,0,0,11224;23521;2534;25873;3320;3921;3932;4736;567;60489;6122;6125;6128;6130;6132;6133;6134;6135;6136;6137;6138;6141;6142;6143;6144;6147;6152;6154;6156;6158;6159;6161;6164;6165;6167;6168;6170;6171;6176;6181;6187;6188;6189;6191;6194;6201;6202;6203;6206;6207;6208;6209;6210;6217;6222;6223;6227;6228;6229;6230;6231;6232;6233;6234;6235;7311;7314;7316;7852;79720;801;9045;919;926;9397,CD8B;APOBEC3G;CD247;FYN;RPL28;RPS15A;LCK;RPS12;RPS27;RPS24;RPL30;B2M;RPL39;RPS3;RPS27A;RPL41;RPL13;RPS28;RPL35A;RPL10;CXCR4;RPS29;RPS7;RPLP2;RPS14;RPLP1;RPL34;RPS2;RPS15;RPL14;RPL19;RPL32;RPL11;RPL26;RPS19;RPS25;RPL36;RPL37;RPS21;RPL18;RPS3A;RPS23;CALM1;RPL9;RPS4X;RPL18A;RPL6;RPL7A;RPL24;RPL3;RPL15;RPS26;RPS8;RPS18;RPL23A;RPL12;RPL21;UBC;RPL10A;RPL29;RPS16;UBB;NMT2;RPSA;RPL35;RPS6;UBA52;VPS37B;RPL8;RPL13A;HSP90AA1;RPS13;RPL5;RPS9;RPL37A,BreastCancer,14.13122424
R-HSA-71291,Metabolism of amino acids and derivatives,264,62,9.401861594,6.594438705,0,0,11224;23521;25873;3921;4736;6122;6125;6128;6130;6132;6133;6134;6135;6136;6137;6138;6141;6142;6143;6144;6147;6152;6154;6156;6158;6159;6161;6164;6165;6167;6168;6170;6171;6176;6181;6187;6188;6189;6191;6194;6201;6202;6203;6206;6207;6208;6209;6210;6217;6222;6223;6227;6228;6229;6230;6231;6232;6233;6234;6235;7311;9045,RPL28;RPS15A;RPS12;RPS27;RPS24;RPL30;RPL39;RPS3;RPS27A;RPL41;RPL13;RPS28;RPL35A;RPL10;RPS29;RPS7;RPLP2;RPS14;RPLP1;RPL34;RPS2;RPS15;RPL14;RPL19;RPL32;RPL11;RPL26;RPS19;RPS25;RPL36;RPL37;RPS21;RPL18;RPS3A;RPS23;RPL9;RPS4X;RPL18A;RPL6;RPL7A;RPL24;RPL3;RPL15;RPS26;RPS8;RPS18;RPL23A;RPL12;RPL21;RPL10A;RPL29;RPS16;RPSA;RPL35;RPS6;UBA52;RPL8;RPL13A;RPS13;RPL5;RPS9;RPL37A,BreastCancer,14.13122424
R-HSA-72766,Translation,241,64,8.582760016,7.456808751,0,0,11224;1915;1936;23521;25873;3921;4736;6122;6125;6128;6130;6132;6133;6134;6135;6136;6137;6138;6141;6142;6143;6144;6147;6152;6154;6156;6158;6159;6161;6164;6165;6167;6168;6170;6171;6176;6181;6187;6188;6189;6191;6194;6201;6202;6203;6206;6207;6208;6209;6210;6217;6222;6223;6227;6228;6229;6230;6231;6232;6233;6234;6235;7311;9045,RPL28;RPS15A;RPS12;RPS27;RPS24;RPL30;RPL39;RPS3;RPS27A;RPL41;RPL13;RPS28;RPL35A;RPL10;RPS29;RPS7;RPLP2;RPS14;RPLP1;RPL34;RPS2;RPS15;RPL14;RPL19;RPL32;RPL11;EEF1A1;RPL26;RPS19;RPS25;RPL36;RPL37;RPS21;RPL18;RPS3A;RPS23;RPL9;RPS4X;RPL18A;RPL6;RPL7A;RPL24;RPL3;RPL15;RPS26;RPS8;RPS18;RPL23A;RPL12;RPL21;RPL10A;RPL29;RPS16;RPSA;RPL35;RPS6;UBA52;RPL8;RPL13A;RPS13;RPL5;EEF1D;RPS9;RPL37A,BreastCancer,14.13122424
R-HSA-376176,Signaling by ROBO receptors,206,70,7.336301093,9.541593116,0,0,11224;23521;25873;3921;4736;4753;51466;6122;6125;6128;6130;6132;6133;6134;6135;6136;6137;6138;6141;6142;6143;6144;6147;6152;6154;6156;6158;6159;6161;6164;6165;6167;6168;6170;6171;6176;6181;6187;6188;6189;6191;6194;6201;6202;6203;6206;6207;6208;6209;6210;6217;6222;6223;6227;6228;6229;6230;6231;6232;6233;6234;6235;7311;7314;7316;7852;89884;9045;9495;9901,EVL;RPL28;RPS15A;RPS12;RPS27;RPS24;RPL30;RPL39;RPS3;RPS27A;RPL41;RPL13;RPS28;RPL35A;RPL10;CXCR4;RPS29;RPS7;RPLP2;RPS14;RPLP1;RPL34;RPS2;RPS15;RPL14;RPL19;RPL32;RPL11;RPL26;RPS19;RPS25;RPL36;RPL37;RPS21;RPL18;RPS3A;AKAP5;RPS23;RPL9;RPS4X;RPL18A;RPL6;RPL7A;RPL24;RPL3;RPL15;RPS26;RPS8;RPS18;RPL23A;RPL12;RPL21;UBC;RPL10A;RPL29;RPS16;SRGAP3;UBB;RPSA;RPL35;RPS6;UBA52;RPL8;NELL2;RPL13A;RPS13;RPL5;RPS9;LHX4;RPL37A,BreastCancer,14.13122424
R-HSA-72312,rRNA processing,170,62,6.054229057,10.2407754,0,0,11224;23521;25873;3921;4736;6122;6125;6128;6130;6132;6133;6134;6135;6136;6137;6138;6141;6142;6143;6144;6147;6152;6154;6156;6158;6159;6161;6164;6165;6167;6168;6170;6171;6176;6181;6187;6188;6189;6191;6194;6201;6202;6203;6206;6207;6208;6209;6210;6217;6222;6223;6227;6228;6229;6230;6231;6232;6233;6234;6235;7311;9045,RPL28;RPS15A;RPS12;RPS27;RPS24;RPL30;RPL39;RPS3;RPS27A;RPL41;RPL13;RPS28;RPL35A;RPL10;RPS29;RPS7;RPLP2;RPS14;RPLP1;RPL34;RPS2;RPS15;RPL14;RPL19;RPL32;RPL11;RPL26;RPS19;RPS25;RPL36;RPL37;RPS21;RPL18;RPS3A;RPS23;RPL9;RPS4X;RPL18A;RPL6;RPL7A;RPL24;RPL3;RPL15;RPS26;RPS8;RPS18;RPL23A;RPL12;RPL21;RPL10A;RPL29;RPS16;RPSA;RPL35;RPS6;UBA52;RPL8;RPL13A;RPS13;RPL5;RPS9;RPL37A,BreastCancer,14.13122424
R-HSA-8868773,rRNA processing in the nucleus and cytosol,165,62,5.876163497,10.55110193,0,0,11224;23521;25873;3921;4736;6122;6125;6128;6130;6132;6133;6134;6135;6136;6137;6138;6141;6142;6143;6144;6147;6152;6154;6156;6158;6159;6161;6164;6165;6167;6168;6170;6171;6176;6181;6187;6188;6189;6191;6194;6201;6202;6203;6206;6207;6208;6209;6210;6217;6222;6223;6227;6228;6229;6230;6231;6232;6233;6234;6235;7311;9045,RPL28;RPS15A;RPS12;RPS27;RPS24;RPL30;RPL39;RPS3;RPS27A;RPL41;RPL13;RPS28;RPL35A;RPL10;RPS29;RPS7;RPLP2;RPS14;RPLP1;RPL34;RPS2;RPS15;RPL14;RPL19;RPL32;RPL11;RPL26;RPS19;RPS25;RPL36;RPL37;RPS21;RPL18;RPS3A;RPS23;RPL9;RPS4X;RPL18A;RPL6;RPL7A;RPL24;RPL3;RPL15;RPS26;RPS8;RPS18;RPL23A;RPL12;RPL21;RPL10A;RPL29;RPS16;RPSA;RPL35;RPS6;UBA52;RPL8;RPL13A;RPS13;RPL5;RPS9;RPL37A,BreastCancer,14.13122424
R-HSA-9010553,Regulation of expression of SLITs and ROBOs,162,65,5.76932416,11.26648429,0,0,11224;23521;25873;3921;4736;6122;6125;6128;6130;6132;6133;6134;6135;6136;6137;6138;6141;6142;6143;6144;6147;6152;6154;6156;6158;6159;6161;6164;6165;6167;6168;6170;6171;6176;6181;6187;6188;6189;6191;6194;6201;6202;6203;6206;6207;6208;6209;6210;6217;6222;6223;6227;6228;6229;6230;6231;6232;6233;6234;6235;7311;7314;7316;89884;9045,RPL28;RPS15A;RPS12;RPS27;RPS24;RPL30;RPL39;RPS3;RPS27A;RPL41;RPL13;RPS28;RPL35A;RPL10;RPS29;RPS7;RPLP2;RPS14;RPLP1;RPL34;RPS2;RPS15;RPL14;RPL19;RPL32;RPL11;RPL26;RPS19;RPS25;RPL36;RPL37;RPS21;RPL18;RPS3A;RPS23;RPL9;RPS4X;RPL18A;RPL6;RPL7A;RPL24;RPL3;RPL15;RPS26;RPS8;RPS18;RPL23A;RPL12;RPL21;UBC;RPL10A;RPL29;RPS16;UBB;RPSA;RPL35;RPS6;UBA52;RPL8;RPL13A;RPS13;RPL5;RPS9;LHX4;RPL37A,BreastCancer,14.13122424
R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,158,62,5.626871712,11.01855581,0,0,11224;23521;25873;3921;4736;6122;6125;6128;6130;6132;6133;6134;6135;6136;6137;6138;6141;6142;6143;6144;6147;6152;6154;6156;6158;6159;6161;6164;6165;6167;6168;6170;6171;6176;6181;6187;6188;6189;6191;6194;6201;6202;6203;6206;6207;6208;6209;6210;6217;6222;6223;6227;6228;6229;6230;6231;6232;6233;6234;6235;7311;9045,RPL28;RPS15A;RPS12;RPS27;RPS24;RPL30;RPL39;RPS3;RPS27A;RPL41;RPL13;RPS28;RPL35A;RPL10;RPS29;RPS7;RPLP2;RPS14;RPLP1;RPL34;RPS2;RPS15;RPL14;RPL19;RPL32;RPL11;RPL26;RPS19;RPS25;RPL36;RPL37;RPS21;RPL18;RPS3A;RPS23;RPL9;RPS4X;RPL18A;RPL6;RPL7A;RPL24;RPL3;RPL15;RPS26;RPS8;RPS18;RPL23A;RPL12;RPL21;RPL10A;RPL29;RPS16;RPSA;RPL35;RPS6;UBA52;RPL8;RPL13A;RPS13;RPL5;RPS9;RPL37A,BreastCancer,14.13122424
R-HSA-168254,Influenza Infection,148,63,5.270740591,11.95277948,0,0,11224;23521;25873;3320;3921;4736;6122;6125;6128;6130;6132;6133;6134;6135;6136;6137;6138;6141;6142;6143;6144;6147;6152;6154;6156;6158;6159;6161;6164;6165;6167;6168;6170;6171;6176;6181;6187;6188;6189;6191;6194;6201;6202;6203;6206;6207;6208;6209;6210;6217;6222;6223;6227;6228;6229;6230;6231;6232;6233;6234;6235;7311;9045,RPL28;RPS15A;RPS12;RPS27;RPS24;RPL30;RPL39;RPS3;RPS27A;RPL41;RPL13;RPS28;RPL35A;RPL10;RPS29;RPS7;RPLP2;RPS14;RPLP1;RPL34;RPS2;RPS15;RPL14;RPL19;RPL32;RPL11;RPL26;RPS19;RPS25;RPL36;RPL37;RPS21;RPL18;RPS3A;RPS23;RPL9;RPS4X;RPL18A;RPL6;RPL7A;RPL24;RPL3;RPL15;RPS26;RPS8;RPS18;RPL23A;RPL12;RPL21;RPL10A;RPL29;RPS16;RPSA;RPL35;RPS6;UBA52;RPL8;RPL13A;HSP90AA1;RPS13;RPL5;RPS9;RPL37A,BreastCancer,14.13122424
R-HSA-168255,Influenza Life Cycle,138,63,4.91460947,12.81892292,0,0,11224;23521;25873;3320;3921;4736;6122;6125;6128;6130;6132;6133;6134;6135;6136;6137;6138;6141;6142;6143;6144;6147;6152;6154;6156;6158;6159;6161;6164;6165;6167;6168;6170;6171;6176;6181;6187;6188;6189;6191;6194;6201;6202;6203;6206;6207;6208;6209;6210;6217;6222;6223;6227;6228;6229;6230;6231;6232;6233;6234;6235;7311;9045,RPL28;RPS15A;RPS12;RPS27;RPS24;RPL30;RPL39;RPS3;RPS27A;RPL41;RPL13;RPS28;RPL35A;RPL10;RPS29;RPS7;RPLP2;RPS14;RPLP1;RPL34;RPS2;RPS15;RPL14;RPL19;RPL32;RPL11;RPL26;RPS19;RPS25;RPL36;RPL37;RPS21;RPL18;RPS3A;RPS23;RPL9;RPS4X;RPL18A;RPL6;RPL7A;RPL24;RPL3;RPL15;RPS26;RPS8;RPS18;RPL23A;RPL12;RPL21;RPL10A;RPL29;RPS16;RPSA;RPL35;RPS6;UBA52;RPL8;RPL13A;HSP90AA1;RPS13;RPL5;RPS9;RPL37A,BreastCancer,14.13122424
R-HSA-168273,Influenza Viral RNA Transcription and Replication,128,63,4.558478349,13.82040128,0,0,11224;23521;25873;3320;3921;4736;6122;6125;6128;6130;6132;6133;6134;6135;6136;6137;6138;6141;6142;6143;6144;6147;6152;6154;6156;6158;6159;6161;6164;6165;6167;6168;6170;6171;6176;6181;6187;6188;6189;6191;6194;6201;6202;6203;6206;6207;6208;6209;6210;6217;6222;6223;6227;6228;6229;6230;6231;6232;6233;6234;6235;7311;9045,RPL28;RPS15A;RPS12;RPS27;RPS24;RPL30;RPL39;RPS3;RPS27A;RPL41;RPL13;RPS28;RPL35A;RPL10;RPS29;RPS7;RPLP2;RPS14;RPLP1;RPL34;RPS2;RPS15;RPL14;RPL19;RPL32;RPL11;RPL26;RPS19;RPS25;RPL36;RPL37;RPS21;RPL18;RPS3A;RPS23;RPL9;RPS4X;RPL18A;RPL6;RPL7A;RPL24;RPL3;RPL15;RPS26;RPS8;RPS18;RPL23A;RPL12;RPL21;RPL10A;RPL29;RPS16;RPSA;RPL35;RPS6;UBA52;RPL8;RPL13A;HSP90AA1;RPS13;RPL5;RPS9;RPL37A,BreastCancer,14.13122424
R-HSA-72613,Eukaryotic Translation Initiation,116,62,4.131121004,15.00803292,0,0,11224;23521;25873;3921;4736;6122;6125;6128;6130;6132;6133;6134;6135;6136;6137;6138;6141;6142;6143;6144;6147;6152;6154;6156;6158;6159;6161;6164;6165;6167;6168;6170;6171;6176;6181;6187;6188;6189;6191;6194;6201;6202;6203;6206;6207;6208;6209;6210;6217;6222;6223;6227;6228;6229;6230;6231;6232;6233;6234;6235;7311;9045,RPL28;RPS15A;RPS12;RPS27;RPS24;RPL30;RPL39;RPS3;RPS27A;RPL41;RPL13;RPS28;RPL35A;RPL10;RPS29;RPS7;RPLP2;RPS14;RPLP1;RPL34;RPS2;RPS15;RPL14;RPL19;RPL32;RPL11;RPL26;RPS19;RPS25;RPL36;RPL37;RPS21;RPL18;RPS3A;RPS23;RPL9;RPS4X;RPL18A;RPL6;RPL7A;RPL24;RPL3;RPL15;RPS26;RPS8;RPS18;RPL23A;RPL12;RPL21;RPL10A;RPL29;RPS16;RPSA;RPL35;RPS6;UBA52;RPL8;RPL13A;RPS13;RPL5;RPS9;RPL37A,BreastCancer,14.13122424
R-HSA-72737,Cap-dependent Translation Initiation,116,62,4.131121004,15.00803292,0,0,11224;23521;25873;3921;4736;6122;6125;6128;6130;6132;6133;6134;6135;6136;6137;6138;6141;6142;6143;6144;6147;6152;6154;6156;6158;6159;6161;6164;6165;6167;6168;6170;6171;6176;6181;6187;6188;6189;6191;6194;6201;6202;6203;6206;6207;6208;6209;6210;6217;6222;6223;6227;6228;6229;6230;6231;6232;6233;6234;6235;7311;9045,RPL28;RPS15A;RPS12;RPS27;RPS24;RPL30;RPL39;RPS3;RPS27A;RPL41;RPL13;RPS28;RPL35A;RPL10;RPS29;RPS7;RPLP2;RPS14;RPLP1;RPL34;RPS2;RPS15;RPL14;RPL19;RPL32;RPL11;RPL26;RPS19;RPS25;RPL36;RPL37;RPS21;RPL18;RPS3A;RPS23;RPL9;RPS4X;RPL18A;RPL6;RPL7A;RPL24;RPL3;RPL15;RPS26;RPS8;RPS18;RPL23A;RPL12;RPL21;RPL10A;RPL29;RPS16;RPSA;RPL35;RPS6;UBA52;RPL8;RPL13A;RPS13;RPL5;RPS9;RPL37A,BreastCancer,14.13122424
R-HSA-927802,Nonsense-Mediated Decay (NMD),110,62,3.917442331,15.82665289,0,0,11224;23521;25873;3921;4736;6122;6125;6128;6130;6132;6133;6134;6135;6136;6137;6138;6141;6142;6143;6144;6147;6152;6154;6156;6158;6159;6161;6164;6165;6167;6168;6170;6171;6176;6181;6187;6188;6189;6191;6194;6201;6202;6203;6206;6207;6208;6209;6210;6217;6222;6223;6227;6228;6229;6230;6231;6232;6233;6234;6235;7311;9045,RPL28;RPS15A;RPS12;RPS27;RPS24;RPL30;RPL39;RPS3;RPS27A;RPL41;RPL13;RPS28;RPL35A;RPL10;RPS29;RPS7;RPLP2;RPS14;RPLP1;RPL34;RPS2;RPS15;RPL14;RPL19;RPL32;RPL11;RPL26;RPS19;RPS25;RPL36;RPL37;RPS21;RPL18;RPS3A;RPS23;RPL9;RPS4X;RPL18A;RPL6;RPL7A;RPL24;RPL3;RPL15;RPS26;RPS8;RPS18;RPL23A;RPL12;RPL21;RPL10A;RPL29;RPS16;RPSA;RPL35;RPS6;UBA52;RPL8;RPL13A;RPS13;RPL5;RPS9;RPL37A,BreastCancer,14.13122424
R-HSA-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),110,62,3.917442331,15.82665289,0,0,11224;23521;25873;3921;4736;6122;6125;6128;6130;6132;6133;6134;6135;6136;6137;6138;6141;6142;6143;6144;6147;6152;6154;6156;6158;6159;6161;6164;6165;6167;6168;6170;6171;6176;6181;6187;6188;6189;6191;6194;6201;6202;6203;6206;6207;6208;6209;6210;6217;6222;6223;6227;6228;6229;6230;6231;6232;6233;6234;6235;7311;9045,RPL28;RPS15A;RPS12;RPS27;RPS24;RPL30;RPL39;RPS3;RPS27A;RPL41;RPL13;RPS28;RPL35A;RPL10;RPS29;RPS7;RPLP2;RPS14;RPLP1;RPL34;RPS2;RPS15;RPL14;RPL19;RPL32;RPL11;RPL26;RPS19;RPS25;RPL36;RPL37;RPS21;RPL18;RPS3A;RPS23;RPL9;RPS4X;RPL18A;RPL6;RPL7A;RPL24;RPL3;RPL15;RPS26;RPS8;RPS18;RPL23A;RPL12;RPL21;RPL10A;RPL29;RPS16;RPSA;RPL35;RPS6;UBA52;RPL8;RPL13A;RPS13;RPL5;RPS9;RPL37A,BreastCancer,14.13122424
R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,109,62,3.881829219,15.97185154,0,0,11224;23521;25873;3921;4736;6122;6125;6128;6130;6132;6133;6134;6135;6136;6137;6138;6141;6142;6143;6144;6147;6152;6154;6156;6158;6159;6161;6164;6165;6167;6168;6170;6171;6176;6181;6187;6188;6189;6191;6194;6201;6202;6203;6206;6207;6208;6209;6210;6217;6222;6223;6227;6228;6229;6230;6231;6232;6233;6234;6235;7311;9045,RPL28;RPS15A;RPS12;RPS27;RPS24;RPL30;RPL39;RPS3;RPS27A;RPL41;RPL13;RPS28;RPL35A;RPL10;RPS29;RPS7;RPLP2;RPS14;RPLP1;RPL34;RPS2;RPS15;RPL14;RPL19;RPL32;RPL11;RPL26;RPS19;RPS25;RPL36;RPL37;RPS21;RPL18;RPS3A;RPS23;RPL9;RPS4X;RPL18A;RPL6;RPL7A;RPL24;RPL3;RPL15;RPS26;RPS8;RPS18;RPL23A;RPL12;RPL21;RPL10A;RPL29;RPS16;RPSA;RPL35;RPS6;UBA52;RPL8;RPL13A;RPS13;RPL5;RPS9;RPL37A,BreastCancer,14.13122424
R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,108,34,3.846216107,8.839856902,0,0,10225;10870;11126;114836;117157;22914;259197;29121;29990;3105;3106;3107;3133;3683;3802;3804;3805;3811;3812;3820;3821;3824;4068;4267;56253;567;8519;915;916;917;919;925;926;9437,KLRD1;CD8A;HCST;CD3D;CD8B;HLA-A;CRTAM;CD3E;KLRC1;CD247;HLA-B;HLA-C;CD3G;SH2D1A;B2M;CD96;SH2D1B;KIR2DL4;NCR1;HLA-E;CD160;KLRB1;KLRK1;KIR2DL3;KIR3DL2;CLEC2D;NCR3;KIR3DL1;ITGAL;KIR2DL1;SLAMF6;PILRB;IFITM1;CD99,BreastCancer,14.13122424
R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,108,62,3.846216107,16.11973906,0,0,11224;23521;25873;3921;4736;6122;6125;6128;6130;6132;6133;6134;6135;6136;6137;6138;6141;6142;6143;6144;6147;6152;6154;6156;6158;6159;6161;6164;6165;6167;6168;6170;6171;6176;6181;6187;6188;6189;6191;6194;6201;6202;6203;6206;6207;6208;6209;6210;6217;6222;6223;6227;6228;6229;6230;6231;6232;6233;6234;6235;7311;9045,RPL28;RPS15A;RPS12;RPS27;RPS24;RPL30;RPL39;RPS3;RPS27A;RPL41;RPL13;RPS28;RPL35A;RPL10;RPS29;RPS7;RPLP2;RPS14;RPLP1;RPL34;RPS2;RPS15;RPL14;RPL19;RPL32;RPL11;RPL26;RPS19;RPS25;RPL36;RPL37;RPS21;RPL18;RPS3A;RPS23;RPL9;RPS4X;RPL18A;RPL6;RPL7A;RPL24;RPL3;RPL15;RPS26;RPS8;RPS18;RPL23A;RPL12;RPL21;RPL10A;RPL29;RPS16;RPSA;RPL35;RPS6;UBA52;RPL8;RPL13A;RPS13;RPL5;RPS9;RPL37A,BreastCancer,14.13122424
